"Grunnkrets","Antall_Boliger"
"HASSELØY",514
"VASSBREKKE",491
"SKÅREDALEN",441
"VALHALLBLOKKENE",397
"AUSTMANNABLOKKENE",391
"MARITIME SKOLE",372
"ROSSABØ KIRKE",336
"UDLAND",333
"DAM",310
"BRAKAHAUG",302
"BLEIKEMYR",292
"ØDEGAARDEN",290
"ROSSABØNAKKEN",280
"Haugaleite",269
"SÆTRO",250
"HØYBLOKKENE",243
"RAMSDALSBLOKKENE",232
"TORNES SYD",207
"FJELLSTEMMEN ØST",203
"GINA",202
"KOLONIHAGEN",192
"RISØY",188
"SKEISVANNSBLOKKENE",187
"GEITAFJELL",183
"HARALDSHALLEN",183
"HAUGE SKOLE",175
"LITLASUND",171
"KVALSVIK",164
"TOLGETJØRN",160
"BRÅVALLAGATA",158
"PRESTHAUGBLOKKENE",154
"SENTRUM 5",138
"HEMMINGSTAD",134
"HEST",134
"Sundskar",129
"HOLLENDERHAUGEN",123
"SENTRUM 3",123
"GARDSTØL",117
"SYKEHUSET",115
"RÅGAN",113
"BJØRGENE",110
"SOLVANG",109
"STEINSNES",106
"NYGÅRD",102
"PORSHAUG",102
"SENTRUM 11",102
"LILLESUND SKOLE",97
"SENTRUM 19",92
"SENTRUM 18",91
"PRESTHAUG",86
"URADALSHAUGEN",84
"SENTRUM 10",83
"GRØNÅSEN",80
"Kålgardshaugen",77
"DJUPASKAR",76
"RAMSDALEN",74
"SAKKESTAD ØST",73
"GRØNHAUG",72
"SØLLERØDFELTET",70
"NIPHAUG VEST",68
"JAMNHAUG",67
"SENTRUM 20",66
"FJELLSTEMMEN VEST",65
"HELLANDSMARKA",63
"SENTRUM 13",62
"ROSSABØSKOGEN",61
"SENTRUM 12",60
"HAUGETUNET",58
"SENTRUM 17",57
"JEPPEVEGEN",53
"SOLVANG SKOLE",53
"SENTRUM 2",51
"VIKSE",51
"SVEHAUG",50
"NIPHAUG",49
"STORESUND",49
"VESTEBEKKEN",49
"KYVIKDALEN",44
"SENTRUM 9",42
"LONGEBJØRG",40
"SENTRUM 7",36
"VARDAFJELL",35
"RAGLATUA",32
"LYSSKAR",31
"SENTRUM 4",28
"TORNES NORD",27
"HAGLAND",24
"SAKKESTAD VEST",24
"SENTRUM 8",17
"SENTRUM 14",15
"SENTRUM 15",14
"SENTRUM 1",12
"RØVÆR",10
"SENTRUM 6",10
"ÅRABROT",10
"DYRSKAR",9
"KATTANAKK",7
"FØRLAND",5
"HALSEID",3
"VIBRANDSØY",3
"TOREVARDEN",1
